,GM_IA_None_Delta,GM_RSD595_None_Delta,"rotD50_AvgSA([0, 3])_3.0_Delta","rotD50_AvgSA([0, 6])_6.0_Delta",rotD50_PGA_None_Delta,rotD50_SA_0.025_Delta,rotD50_SA_0.04_Delta,rotD50_SA_0.05_Delta,rotD50_SA_0.07_Delta,rotD50_SA_0.1_Delta,rotD50_SA_0.15_Delta,rotD50_SA_0.2_Delta,rotD50_SA_0.25_Delta,rotD50_SA_0.3_Delta,rotD50_SA_0.35_Delta,rotD50_SA_0.4_Delta,rotD50_SA_0.45_Delta,rotD50_SA_0.5_Delta,rotD50_SA_0.6_Delta,rotD50_SA_0.7_Delta,rotD50_SA_0.75_Delta,rotD50_SA_0.8_Delta,rotD50_SA_0.9_Delta,rotD50_SA_1.0_Delta,rotD50_SA_1.2_Delta,rotD50_SA_1.4_Delta,rotD50_SA_1.6_Delta,rotD50_SA_1.8_Delta,rotD50_SA_2.0_Delta,rotD50_SA_2.5_Delta,rotD50_SA_3.0_Delta,rotD50_SA_3.5_Delta,rotD50_SA_4.0_Delta,rotD50_SA_4.5_Delta,rotD50_SA_5.0_Delta,rotD50_SA_6.0_Delta,rotD50_SA_7.0_Delta,rotD50_SA_8.0_Delta,event_id,station_code,max_usable_T
0,-0.9228640562550927,-0.16608612103141995,0.14698101772317163,0.23168299098273604,-0.3854085009226007,-0.43047260631452877,-0.5210984460149466,-0.5389107689627881,-0.6103749910393321,-0.5733015801948764,0.24098789187363945,-0.2817073793630245,-0.6345818256540716,-0.529389673966107,-0.32215469525743545,0.14581721514271173,0.09616090417625456,-0.2488286283247665,-0.1911393559000074,0.13725726053585685,0.34136336999167405,0.34040513855844834,0.23315155782333008,0.27365391134820705,0.43449067147669407,0.44033057207131954,0.36727714104309417,0.3194541771837054,0.44111701006629733,0.2709408054158331,0.15430381693159312,0.185013434676371,0.3013453975312599,0.38678099169093105,0.34107850422754193,0.362853041623465,0.42039527304907054,0.4266735928924703,EMSC-19990611_0000011,ZAK1,2.0
1,0.32966114555864934,-0.9339292146093006,0.5690898084427936,0.4575685078383387,0.6800073717741535,0.6495138162180556,0.5585657571465861,0.5265454004268557,0.6832785306789453,0.5894786122046494,1.0916797218174557,0.7596368853869704,0.6193760530736427,1.088051610254181,0.8895798379552873,0.410261784162286,0.17893236972592685,0.13980834426142597,-0.07661273354508147,-0.04007168505715164,-0.05924260143320037,-0.023861395332665403,0.2505795749658368,0.2688473693034581,0.3176457907313113,0.5245233429382461,0.5131694208343109,0.7046018420665581,0.8301361884097576,0.6710477670546844,0.604755221996716,0.43020110132620104,0.35757111347202475,0.41259628483730637,0.37681955227425057,0.38742725299791836,0.42423138292153695,0.43154900195217216,EMSC-19990611_0000011,ARGA,2.0
2,-0.11580877445593618,-0.798236193840308,0.6328254584351107,0.5708675460164461,0.8165113517364055,0.7842286573451407,0.6881134678716503,0.6645381664931396,0.47914318905020004,0.41508575196664665,0.8345832112876517,1.1840275488004632,0.9689845936287114,0.8068423930027886,0.8212815508563107,0.4326018905885345,0.22165001728743672,0.09785047631066845,0.11475885553734688,0.19562448595524806,0.340595813319716,0.4957143678918321,0.5474914024854947,0.4589544930847502,0.4296687962090795,0.5069928020686083,0.8074195496171184,0.6903159919225494,0.670658538202697,0.6457090461916577,0.7955934555152364,0.7120454637041211,0.5956720026608213,0.635767196169418,0.5059634767432808,0.4567309564995572,0.503010248030284,0.529786600118447,EMSC-19990611_0000011,LEFA,2.0
3,0.7080567776618558,-0.565315332118534,0.7665344533471776,0.7168756080055818,0.7277820760816809,0.6879890651837766,0.6320722677264232,0.723551411314288,0.7450075726057044,0.8058402129193243,1.235862039229588,0.7599992544484411,0.5521783174969679,0.4632371285768282,0.6951096996987483,0.7509751117296206,0.691972794288823,0.49990526786952927,0.34893748038319305,0.44007582751554253,0.40191530002661935,0.6098498188124086,0.5149920309070097,0.5433039533135569,0.8737060122100155,0.8740152399042715,1.0228711614243498,1.0963513531167175,1.0601893476921909,0.7303123967582525,0.7954769301842974,0.7878759332334369,0.6563728315463226,0.6221578618317647,0.6081739565076401,0.6540617896416023,0.6260022720371126,0.5703754283936995,EMSC-19990611_0000011,LXRA,2.0
5,-6.2966629528375115,0.37201556146968073,-3.4344456038405333,-3.1074600314850276,-2.9063145810273117,-2.818164972481707,-2.12112862832085,-1.9677906735260713,-2.6293418704929827,-2.8945967122232688,-3.0206070220337367,-2.8607840464821646,-3.031457128371911,-3.2564618039918214,-3.241437054891292,-3.2247748114787704,-3.288455319063263,-3.38544467261704,-3.556923832626822,-3.511116898066443,-3.4560559687420556,-3.2997824032702345,-3.5543769229120867,-3.648338493630485,-3.677543335984822,-3.7463892339684595,-3.5729563629234526,-3.59139547176067,-3.5752434568950004,-3.4297969170630456,-3.2842801241476653,-3.1513313358112818,-2.8223597359322525,-2.653675210463419,-2.6102468501340983,-2.6762563446311862,-2.622377135254901,-2.6703766638243724,EMSC-20080917_0000042,CSS,3.2
6,-5.0949036589548164,0.2850414885027357,-1.8081155550538366,-1.6582956940736153,-2.227929726825055,-2.2153830019927394,-1.7191618125195003,-1.513625621116672,-1.7546295259351696,-1.88231806599115,-2.0449421933194367,-2.6156940231202626,-2.7655919762510086,-2.4585727117413674,-2.2972178764877045,-2.1064738179133977,-2.077105115106219,-2.0193293451832304,-2.086673401311403,-1.7987342286825063,-1.8353274254953957,-1.6673308507270042,-1.611065385537283,-1.7984035959163585,-1.9126058362965637,-1.9344566513703647,-2.0161455397770975,-1.9243327107303045,-1.5471071764040651,-1.3245793211765644,-1.5559972000267042,-1.5095268112829014,-1.5780891162790844,-1.5410731968764182,-1.4659856312085449,-1.491734287371715,-1.4846552382903173,-1.4978921725974192,EMSC-20091107_0000005,CSS,4.0
7,-2.3263840971468017,-0.5174714696381741,-1.7733903795150674,-1.403257330823605,-0.8674461661924635,-0.9026696734457289,-0.6252459932454997,-0.1394918182538527,-0.6757352198227391,-1.1217648066642,-1.156905497784031,-0.9880433505655377,-0.9707663134091629,-0.829162089355366,-0.9627986285970378,-1.1094181243707775,-1.2399056453318975,-1.374587459409315,-1.7301761097114197,-1.848918052680844,-1.843183705576224,-1.9418168291566076,-2.388250040850198,-2.3421645176994375,-2.1369833539382164,-2.2413381222793314,-2.1875411813977292,-2.0977644272870783,-2.020522635036235,-1.8732245129362255,-1.6821915958291722,-1.4663615798049143,-1.2568879148968453,-1.0544668123486787,-0.9131914948846465,-0.6878651607052664,-0.5076804753027719,-0.36080086408340684,EMSC-20091201_0000021,KARP,8.0
8,-2.873028552447373,-0.0860105631838044,-2.657116742781559,-2.3421812848454717,-0.6877922874792466,-0.6581847932758835,-0.1258313795188304,-0.1997275339737392,-0.19541013676905994,-0.5813024861695064,-1.358258097686349,-1.485977719481986,-1.7429636537706816,-2.0186698565665893,-2.015366241646193,-2.23655203636417,-2.45873857633328,-2.729225301482363,-2.8121589150371173,-2.993922847093163,-2.987573469903616,-3.009120220833699,-2.8349359045619105,-3.0486534377942682,-3.223721657809766,-3.2757014147620893,-3.175687241822043,-3.078063465789871,-3.0075243574731125,-2.9284088909789485,-2.6786238843174335,-2.5179839905369654,-2.312944968639565,-2.0943085945188376,-2.038673115324734,-1.7843044543676072,-1.560348752427716,-1.3806987922417147,EMSC-20100105_0000004,KARP,4.0
9,-1.0858440311673654,-0.022153466200713456,-0.9712218377601118,-0.8217313290373838,-0.7999670269439205,-0.849411183036449,-0.7762778785586235,-0.4759858936768362,-0.6135920848613514,-0.5655598405759195,-0.7661877548336635,-0.6155592852458485,-0.3513893744967689,-0.5148402900211337,-0.39450458917321196,-0.39751349483952225,-0.4830342874493647,-0.49057411446806753,-0.7158110603038663,-0.9352958226311774,-0.8413372417693727,-0.9488490576733835,-1.0067308805452075,-0.9643129484621342,-0.6299243596196531,-0.8024064249361871,-1.1578154854784959,-1.2053219272690718,-1.2921179159815726,-1.2055666309401953,-1.0497994628407206,-0.9286101944746736,-0.8172726614572845,-0.62912892305655,-0.6012910423613249,-0.41945501557204956,-0.27016436597571847,-0.14000072063040037,EMSC-20100105_0000004,IACM,5.3333
11,0.7411992910726397,-0.5372500552196158,-0.2987860005240721,-0.13255666850918857,0.8883432152396029,0.8619582894110698,0.9056336783415677,1.1387564509469623,1.1811295858025197,1.4864380262508639,1.188574049572697,0.8222969534280686,0.3890538733617692,0.8650541439733859,0.6409796416640923,0.19991667115277245,0.16422543279650714,0.18810930243284396,0.4469677157782348,-0.2072573220658569,-0.238419528473913,-0.35435791469903233,-0.4873502311256974,-0.6023829799566265,-0.6311634400733306,-0.7627929686927146,-0.9186708149898388,-0.8726403082744341,-0.8709616240202855,-0.5015709702669628,-0.4053112409688513,-0.31110111417506303,-0.19078482108680994,-0.03360391326995682,0.04488065049969059,0.26408270152289504,0.44809973278477777,0.6032141781738503,EMSC-20100716_0000025,KARP,8.0
