group,n_storeys,theta,beta
group_3s_00,3,0.4242442616884799,0.2155933346748763
group_3s_01,3,0.4124146742084573,0.1820151903879138
group_3s_02,3,0.4140049246107485,0.1848981913458847
group_3s_03,3,0.5026681103483441,0.1822022244624404
group_3s_04,3,0.3932496781473053,0.1811795823915252
group_3s_05,3,0.3904911369622162,0.1761964082119258
group_3s_06,3,0.384117463536578,0.1734906362486529
group_3s_07,3,0.3903820301494932,0.1761539673358679
group_3s_08,3,0.3936142996383969,0.1832093045752429
group_3s_09,3,0.4627608557968049,0.1627769115352724
group_3s_10,3,0.4923882891634064,0.2120635550154843
group_3s_11,3,0.8389659501398823,0.2679497793031024
group_3s_12,3,0.4823692140893084,0.1752093455054753
group_3s_13,3,0.4698060756037552,0.1729616600186289
group_3s_14,3,0.4890750874354053,0.2174090312880719
group_3s_15,3,0.9222711307647036,0.3328009270099949
group_3s_16,3,0.4846711154562111,0.2071561212775694
group_3s_17,3,0.6307472375404701,0.2247778644203252
group_3s_18,3,0.5916169661093643,0.2359338467032245
group_3s_19,3,0.6332415747519134,0.2258407449394278
group_3s_20,3,0.6528075692443488,0.2118749473758945
group_3s_21,3,0.6526570749024345,0.2044968253648322
group_3s_22,3,0.8220519717165894,0.2573787050955908
group_3s_23,3,0.8375806622966716,0.2649318447431443
group_3s_24,3,0.6257529365861865,0.2406588668391817
group_5s_00,5,0.366065905435791,0.1780705108724155
group_5s_01,5,0.4812445180722228,0.1955685988389306
group_5s_02,5,0.4598549272684734,0.1869932738880478
group_5s_03,5,0.4366154203157237,0.170119244577679
group_5s_04,5,0.4325664453393645,0.1650043825037195
group_5s_05,5,0.474979908934244,0.169315162691002
group_5s_06,5,0.3405272126647699,0.185249056078593
group_5s_07,5,0.6178011027462226,0.1853912207885209
group_5s_08,5,0.6532043268616193,0.1916291454640707
group_5s_09,5,0.4164648854843564,0.2031495067212791
group_5s_10,5,0.4891433836621228,0.1839898032201338
group_5s_11,5,0.7277961257438662,0.190006282450616
group_5s_12,5,0.629652208981485,0.2114941651675534
group_5s_13,5,0.7716660880218407,0.175774639951389
group_5s_14,5,0.4507571573152053,0.224821295810544
group_5s_15,5,0.4421283216433281,0.1923868064323906
group_5s_16,5,0.5421075158888062,0.2277570260947305
group_5s_17,5,0.5961531724026385,0.2024551343804902
group_5s_18,5,0.7598698404707365,0.2020623807644389
group_5s_19,5,0.6289411468387017,0.2052541093827137
group_5s_20,5,0.6446161331615458,0.2008767870185369
group_5s_21,5,0.6914935016536768,0.2159300884489685
group_5s_22,5,0.4891132387717101,0.209830078847374
group_5s_23,5,0.6543141425876261,0.2168706981247838
group_5s_24,5,0.4507558890022083,0.2250762762256059
group_5s_25,5,0.6494625694070606,0.1694437565618717
